organism	tf_locus_tag	tf_name	tf_ortho_names	tg_locus_tag	tg_name	tg_ortho_names	interaction	tfbs_count
Foxysporum	FOXG_00040	FOXG_00040	crzA	FOXG_00193	FOXG_00193		+	0
Foxysporum	FOXG_00040	FOXG_00040	crzA	FOXG_00407	FOXG_00407		+	0
Foxysporum	FOXG_00040	FOXG_00040	crzA	FOXG_01023	FOXG_01023		+	0
Foxysporum	FOXG_00040	FOXG_00040	crzA	FOXG_01036	FOXG_01036		+	0
Foxysporum	FOXG_00040	FOXG_00040	crzA	FOXG_02725	FOXG_02725		+	0
Foxysporum	FOXG_00040	FOXG_00040	crzA	FOXG_02820	FOXG_02820		+	1
Foxysporum	FOXG_00040	FOXG_00040	crzA	FOXG_03015	FOXG_03015		+	0
Foxysporum	FOXG_00040	FOXG_00040	crzA	FOXG_03997	FOXG_03997		+	0
Foxysporum	FOXG_00040	FOXG_00040	crzA	FOXG_04182	FOXG_04182		+	0
Foxysporum	FOXG_00040	FOXG_00040	crzA	FOXG_04598	FOXG_04598		+	1
Foxysporum	FOXG_00040	FOXG_00040	crzA	FOXG_04904	FOXG_04904		+	0
Foxysporum	FOXG_00040	FOXG_00040	crzA	FOXG_05975	FOXG_05975		+	0
Foxysporum	FOXG_00040	FOXG_00040	crzA	FOXG_07499	FOXG_07499		+	0
Foxysporum	FOXG_00040	FOXG_00040	crzA	FOXG_08724	FOXG_08724		+	1
Foxysporum	FOXG_00040	FOXG_00040	crzA	FOXG_09457	FOXG_09457		+	0
Foxysporum	FOXG_00040	FOXG_00040	crzA	FOXG_09666	FOXG_09666		+	1
Foxysporum	FOXG_00040	FOXG_00040	crzA	FOXG_10713	FOXG_10713		+	1
Foxysporum	FOXG_00040	FOXG_00040	crzA	FOXG_11831	FOXG_11831		+	0
Foxysporum	FOXG_00040	FOXG_00040	crzA	FOXG_12345	FOXG_12345		+	0
Foxysporum	FOXG_00040	FOXG_00040	crzA	FOXG_12747	FOXG_12747		+	0
Foxysporum	FOXG_00040	FOXG_00040	crzA	FOXG_12908	FOXG_12908		+	1
Foxysporum	FOXG_00040	FOXG_00040	crzA	FOXG_16865	FOXG_16865		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00023	FOXG_00023		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00036	FOXG_00036		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00052	FOXG_00052		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00075	FOXG_00075		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00088	FOXG_00088		+	1
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00090	FOXG_00090		+	1
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00103	FOXG_00103		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00110	FOXG_00110		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00118	FOXG_00118		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00139	FOXG_00139		+	1
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00172	FOXG_00172		+	1
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00184	FOXG_00184		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00196	FOXG_00196		+	1
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00204	FOXG_00204		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00216	FOXG_00216		+	1
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00221	FOXG_00221		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00233	FOXG_00233		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00254	FOXG_00254		+	1
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00255	FOXG_00255		+	1
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00261	FOXG_00261		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00263	FOXG_00263		+	1
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00288	FOXG_00288		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00305	FOXG_00305		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00311	FOXG_00311		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00350	FOXG_00350		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00353	FOXG_00353		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00361	FOXG_00361		+	2
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00372	FOXG_00372		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00460	FOXG_00460		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00472	FOXG_00472		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00487	FOXG_00487		+	1
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00490	FOXG_00490		+	1
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00508	FOXG_00508		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00521	FOXG_00521		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00525	FOXG_00525		+	1
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00539	FOXG_00539		+	1
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00550	FOXG_00550		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00571	FOXG_00571		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00577	FOXG_00577		+	1
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00579	FOXG_00579		+	1
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00584	FOXG_00584		+	1
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00586	FOXG_00586		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00602	FOXG_00602		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00604	FOXG_00604		+	1
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00616	FOXG_00616		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00624	FOXG_00624		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00634	FOXG_00634		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00638	FOXG_00638		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00654	FOXG_00654		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00679	FOXG_00679		+	2
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00684	FOXG_00684		+	1
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00685	FOXG_00685		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00692	FOXG_00692		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00699	FOXG_00699		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00763	FOXG_00763		+	1
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00769	FOXG_00769		+	1
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00779	FOXG_00779		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00793	FOXG_00793		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00800	FOXG_00800		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00821	FOXG_00821		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00822	FOXG_00822		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00823	FOXG_00823		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00835	FOXG_00835		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00837	FOXG_00837		+	1
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00851	FOXG_00851		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00864	FOXG_00864		+	1
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00869	FOXG_00869		+	1
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00871	FOXG_00871		+	1
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00874	FOXG_00874		-	2
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00893	FOXG_00893		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00898	FOXG_00898		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00924	FOXG_00924		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00936	FOXG_00936		+	1
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00962	FOXG_00962		+	1
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00963	FOXG_00963		+	1
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00972	FOXG_00972		+	1
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00984	FOXG_00984		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_00995	FOXG_00995		+	2
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_01006	FOXG_01006		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_01019	NOP7	NOP7	+	1
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_01039	FOXG_01039		+	1
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_01058	FOXG_01058		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_01064	NAT10	NAT10	+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_01075	FOXG_01075		+	2
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_01094	FOXG_01094		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_01109	FOXG_01109		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_01112	FOXG_01112		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_01123	FOXG_01123		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_01124	FOXG_01124		-	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_01134	FOXG_01134		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_01149	FOXG_01149		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_01155	FOXG_01155		+	2
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_01165	FOXG_01165		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_01172	FOXG_01172		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_01190	FOXG_01190		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_01196	FOXG_01196		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_01200	FOXG_01200		+	1
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_01274	FOXG_01274		+	1
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_01275	FOXG_01275		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_01278	FOXG_01278		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_01293	FOXG_01293		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_01310	FOXG_01310		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_01331	FOXG_01331		+	1
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_01355	FOXG_01355		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_01433	FOXG_01433		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_01438	FOXG_01438		+	1
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_01441	FOXG_01441		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_01450	FOXG_01450		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_01466	FOXG_01466		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_01478	FOXG_01478		+	1
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_01482	FOXG_01482		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_01494	FOXG_01494		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_01529	FOXG_01529		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_01531	FOXG_01531		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_01541	FOXG_01541		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_01567	FOXG_01567		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_01573	FOXG_01573		+	0
Foxysporum	FOXG_00073	FOXG_00073	flbB	FOXG_01578	FOXG_01578		+	2
